id,session_id,timestamp,hex_id,data
17599,23,1756868236698,0x220,01
17600,23,1756868236698,0x3f2,00
17601,23,1756868236731,0x200,07 AD 00 95 00 00
17602,23,1756868236731,0x201,00 00 00 00
17603,23,1756868236731,0x202,00 00
17604,23,1756868236731,0x220,01
17605,23,1756868236731,0x3f2,00
17606,23,1756868236764,0x200,08 0C 00 A4 00 00
17607,23,1756868236764,0x201,00 00 00 00
17608,23,1756868236764,0x202,00 00
17609,23,1756868236764,0x220,01
17610,23,1756868236764,0x3f2,00
17611,23,1756868236798,0x200,08 66 00 B3 00 00
17612,23,1756868236798,0x201,00 00 00 00
17613,23,1756868236798,0x202,00 00
17614,23,1756868236798,0x220,01
17615,23,1756868236798,0x3f2,00
17616,23,1756868236831,0x200,08 BD 00 C2 00 00
17617,23,1756868236831,0x201,00 00 00 00
17618,23,1756868236831,0x202,00 00
17619,23,1756868236831,0x220,01
17620,23,1756868236831,0x3f2,00
17621,23,1756868236866,0x200,09 0F 00 D1 00 00
17622,23,1756868236866,0x201,00 00 00 00
17623,23,1756868236866,0x202,00 00
17624,23,1756868236866,0x220,01
17625,23,1756868236866,0x3f2,00
17626,23,1756868236899,0x200,09 5E 00 E0 00 00
17627,23,1756868236899,0x201,00 00 00 00
17628,23,1756868236899,0x202,00 00
17629,23,1756868236899,0x220,01
17630,23,1756868236899,0x3f2,00
17631,23,1756868236932,0x200,09 A9 00 EF 00 00
17632,23,1756868236932,0x201,00 00 00 00
17633,23,1756868236932,0x202,00 00
17634,23,1756868236932,0x220,01
17635,23,1756868236932,0x3f2,00
17636,23,1756868236964,0x200,09 F2 00 FE 00 00
17637,23,1756868236964,0x201,00 00 00 00
17638,23,1756868236964,0x202,00 00
17639,23,1756868236964,0x220,01
17640,23,1756868236964,0x3f2,00
17641,23,1756868237000,0x200,0A 38 01 0C 00 00
17642,23,1756868237000,0x201,00 00 00 00
17643,23,1756868237000,0x202,00 00
17644,23,1756868237000,0x220,01
17645,23,1756868237000,0x3f2,00
17646,23,1756868237035,0x200,0A 7B 01 1B 00 00
17647,23,1756868237035,0x201,00 00 00 00
17648,23,1756868237035,0x202,00 00
17649,23,1756868237035,0x220,01
17650,23,1756868237035,0x3f2,00
17651,23,1756868237068,0x200,0A BC 01 2A 00 00
17652,23,1756868237068,0x201,00 00 00 00
17653,23,1756868237068,0x202,00 00
17654,23,1756868237068,0x220,01
17655,23,1756868237068,0x3f2,00
17656,23,1756868237101,0x200,0A FB 01 39 00 00
17657,23,1756868237101,0x201,00 00 00 00
17658,23,1756868237101,0x202,00 00
17659,23,1756868237101,0x220,01
17660,23,1756868237101,0x3f2,00
17661,23,1756868237133,0x200,0B 38 01 48 00 00
17662,23,1756868237133,0x201,00 00 00 00
17663,23,1756868237133,0x202,00 00
17664,23,1756868237133,0x220,01
17665,23,1756868237133,0x3f2,00
17666,23,1756868237163,0x200,0B 73 01 57 00 00
17667,23,1756868237163,0x201,00 00 00 00
17668,23,1756868237163,0x202,00 00
17669,23,1756868237163,0x220,01
17670,23,1756868237163,0x3f2,00
17671,23,1756868237198,0x200,0B AC 01 66 00 00
17672,23,1756868237198,0x201,00 00 00 00
17673,23,1756868237198,0x202,00 00
17674,23,1756868237198,0x220,01
17675,23,1756868237198,0x3f2,00
17676,23,1756868237235,0x200,0B E4 01 75 00 00
17677,23,1756868237235,0x201,00 00 00 00
17678,23,1756868237235,0x202,00 00
17679,23,1756868237235,0x220,01
17680,23,1756868237235,0x3f2,00
17681,23,1756868237265,0x200,0C 1A 01 83 00 00
17682,23,1756868237265,0x201,00 00 00 00
17683,23,1756868237265,0x202,00 00
17684,23,1756868237265,0x220,01
17685,23,1756868237265,0x3f2,00
17686,23,1756868237300,0x200,0C 4F 01 92 00 00
17687,23,1756868237300,0x201,00 00 00 00
17688,23,1756868237300,0x202,00 00
17689,23,1756868237300,0x220,01
17690,23,1756868237300,0x3f2,00
17691,23,1756868237336,0x200,0C 83 01 A1 00 00
17692,23,1756868237336,0x201,00 00 00 00
17693,23,1756868237336,0x202,00 00
17694,23,1756868237336,0x220,01
17695,23,1756868237336,0x3f2,00
